gen_name,bus_id,bus_name,lat,lon,capacity_mw,bus_voltage_kv,source,state
generator-235449-2622214954,235449,01CARLOS,39.641111,-79.011111,40,138.0,EIA_ONLY,MD
generator-235449-3721444772,235449,01CARLOS,39.599992,-78.890672,54.9,138.0,EIA_ONLY,MD
generator-235449-4982235671,235449,01CARLOS,39.599992,-78.890672,54.9,138.0,EIA_ONLY,MD
generator-235530-8580535381,235530,01BS_U2-073A_235530,39.69,-78.94,137.99999999999997,138.0,EI_MMWG,MD
generator-235854-5874546567,235854,01KL_K28_T16_235854,39.4047,-79.29,70,138.0,EI_EIA2PF,MD
generator-237314-4400671239,237314,Fairlawn,39.404564,-79.291143,30,23.0,EIA_MMWG_FUZZY,MD
generator-237507-4366593396,237507,01CROSSCHOOL_237507,39.51,-78.99,85.0,34.5,EI_MMWG,MD
generator-237512-1617822807,237512,01ROTHROCK_237512,39.254444,-79.467222,40,138.0,EI_EIA2PF,MD
generator-237513-2749727008,237513,Roth Rock,39.287222,-79.434444,10,34.5,EIA_MMWG_FUZZY,MD
