gen_name,bus_id,bus_name,lat,lon,capacity_mw,bus_voltage_kv,source,state
generator-235101-1093634838,235101,01BEDNGT,39.531839,-77.887092,50,500.0,EIA_MMWG_EXACT,WV
generator-235123-8863157456,235123,01MARLOW_235123,39.589315,-77.835548,5.8,138.0,EIA_MMWG_FUZZY,WV
generator-235427-9503598084,235427,01WILLIM_235427,39.155005,-79.443344,11.5,138.0,EIA_MMWG_FUZZY,WV
generator-235486-1760824127,235486,01MILLVL,39.263611,-77.833412,96,138.0,EIA_ONLY,WV
generator-235583-4370367427,235583,01FMRTN1_235583,39.707825,-79.948839,18.9,22.0,EIA_MMWG_FUZZY,WV
generator-235593-9818990886,235593,01HAMPS2_235593,39.28724,-78.64196,20,138.0,EIA_MMWG_FUZZY,WV
generator-235710-4584680488,235710,01WYLIE R_235710,40.452683,-80.572554,8.4,138.0,EIA_MMWG_FUZZY,WV
generator-237113-8268973718,237113,01C RIVESV_237113,39.539042,-80.094402,5.5,23.0,EIA_MMWG_FUZZY,WV
