gen_name,bus_id,bus_name,lat,lon,capacity_mw,bus_voltage_kv,source,state
generator-232292-2697879922,232292,BAYLY_232292,38.56654,-76.10953,1.5,69.0,EIA_MMWG_FUZZY,MD
generator-232412-877312099,232412,X1-032 E_232412,38.098056,-75.611111,2.8,138.0,EI_EIA2PF,MD
generator-232417-9087585593,232417,X3-008 C_232417,38.37,-76.08,20.0,69.0,EI_MMWG,MD
generator-232422-2070834662,232422,X3-066 FULL_232422,39.100947,-75.959681,6,12.47,EI_EIA2PF,MD
generator-232424-40180901,232424,Y1-079 C_232424,38.94037,-76.045658,10,24.94,EI_EIA2PF,MD
generator-232426-6407291363,232426,Y1-080 FULL_232426,38.5158,-76.0192,3.2,69.0,EI_EIA2PF,MD
generator-232428-7057830790,232428,Y3-058 C_232428,38.394728,-75.672715,13.6,69.0,EI_EIA2PF,MD
generator-232432-4793882501,232432,Z2-076 C_232432,38.34,-75.21,5.999999999999999,24.94,EI_MMWG,MD
generator-232434-640201495,232434,Z2-077 C_232434,38.34,-75.21,5.999999999999999,24.94,EI_MMWG,MD
generator-232508-1390331835,232508,LYNCH 2_232508,39.280833,-76.090833,1,24.94,EIA_MMWG_FUZZY,MD
generator-232545-7291813966,232545,KENNEY 1_232545,38.115402,-75.214861,2,24.94,EIA_MMWG_FUZZY,MD
generator-232550-8706726388,232550,MT HRMN2_232550,38.3228,-75.5431,2,24.94,EIA_MMWG_FUZZY,MD
generator-232560-8363388552,232560,BEAGLIN_T1_232560,38.373611,-75.535278,1,24.9,EIA_MMWG_FUZZY,MD
generator-232801-6219336081,232801,OIL_CITY,39.007849,-75.782969,145,138.0,EIA_MMWG_FUZZY,MD
generator-232809-7420454718,232809,KENNDYVL_232809,39.297222,-75.982222,1,69.0,EIA_MMWG_FUZZY,MD
generator-232834-8397667667,232834,NEW HOPE_232834,38.376941,-75.274195,5,69.0,EIA_MMWG_FUZZY,MD
generator-232834-3263728136,232834,NEW HOPE_232834,38.376941,-75.274195,2.6,69.0,EIA_MMWG_FUZZY,MD
generator-232841-9186853697,232841,WALSTN S_232841,38.389578,-75.418127,2,69.0,EIA_MMWG_FUZZY,MD
generator-232841-3201824356,232841,WALSTN S_232841,38.37,-75.505,9.9,69.0,EIA_MMWG_FUZZY,MD
generator-232854-9488888752,232854,ROYALOAK_232854,38.772903,-76.138912,1.5,69.0,EIA_MMWG_FUZZY,MD
generator-233931-5763200131,233931,AB2-032 TER_233931,39.031667,-76.016389,2,13.8,EIA_MMWG_FUZZY,MD
generator-233931-1558825924,233931,AB2-032 TER_233931,39.035986,-76.054316,1.7,13.8,EIA_MMWG_FUZZY,MD
generator-233944-6775360023,233944,AB2-135 C_233944,39.232046,-75.772277,64,69.0,EI_EIA2PF,MD
generator-233946-8537362253,233946,AB2-136 C_233946,38.530674,-76.100362,51.1,69.0,EI_EIA2PF,MD
generator-233979-2335046586,233979,AB2-133 POI,39.178761,-75.960905,79.6,69.0,EIA_MMWG_FUZZY,MD
generator-233979-7800302384,233979,AB2-133 POI,39.2299,-76.0525,55.8,69.0,EIA_MMWG_FUZZY,MD
generator-235025-1634030823,235025,AB2-097 E_235025,39.64913,-77.67837,10,34.5,EI_EIA2PF,MD
generator-235327-2247222935,235327,01ELKGRD,39.442372,-79.201639,175,138.0,EIA_MMWG_FUZZY,MD
generator-235469-7570109671,235469,01GARRET_235469,39.608072,-79.32824,2,138.0,EIA_MMWG_FUZZY,MD
generator-235497-2869119000,235497,01OAKPRK_235497,39.373488,-79.397636,2,138.0,EIA_MMWG_FUZZY,MD
generator-235497-2163510075,235497,01OAKPRK_235497,39.375049,-79.403994,2,138.0,EIA_MMWG_FUZZY,MD
generator-235497-5317567023,235497,01OAKPRK_235497,39.379117,-79.367778,2,138.0,EIA_MMWG_FUZZY,MD
generator-235497-8368390506,235497,01OAKPRK_235497,39.386859,-79.38745,2,138.0,EIA_MMWG_FUZZY,MD
generator-235511-4653343342,235511,01PARAMT_235511,39.680865,-77.727117,1.1,138.0,EIA_MMWG_FUZZY,MD
generator-235511-6730323520,235511,01PARAMT_235511,39.66448,-77.70058,2,138.0,EIA_MMWG_FUZZY,MD
generator-237006-6644970224,237006,AB1-125 GEN_237006,39.4829,-77.3757,15,0.6,EI_EIA2PF,MD
generator-237025-4718827659,237025,AB1-124 C_237025,39.572402,-77.307869,20,34.5,EI_EIA2PF,MD
generator-237039-8052564518,237039,AF1-001 C_237039,39.59535,-79.387898,2,34.5,EIA_MMWG_FUZZY,MD
generator-237366-7171466373,237366,01CARLOS,39.598,-78.951,19.8,34.5,EIA_ONLY,MD
generator-237367-1227725293,237367,01CARROLL_237367,39.562305,-77.161771,2,34.5,EIA_MMWG_FUZZY,MD
generator-237367-2592127784,237367,01CARROLL_237367,39.563,-77.183,8.2,34.5,EIA_MMWG_FUZZY,MD
generator-237394-2429491410,237394,01EMMITSBU_237394,39.69373,-77.314427,1.7,34.5,EIA_MMWG_FUZZY,MD
